TXID,fee,output,removed,size,time
fdf5856711ee9540d9fee02c1e0bc90c42ef91fadc061ab92874ea676f51d333,65992.0,5857505,1510262776.97,226,1510262176
078f21f3ca474b348277dad9086124f1fbd7f435fcd071d454623a26609c7e4f,59423.0,1598937,1510264653.31,226,1510263799
313b00624551946e6acfab96bfa4fa78252ffe2650fcd9ce3692c8fcf2f99f27,47170.0,94342830,1510265586.75,226,1510264242
cc2a63ad7f615467ccd41971d009b21d6208adff512e0b47c5b4a17547ffa572,65339.0,3052744,1510262776.97,226,1510262176
c34c48fac2d80ae1ca8d9432981cea85f0fbb786d953328d1013df6f92882740,72906.0,117667248,1510262776.97,226,1510261773
98b085679bcbabec97d352f2488c790f970dcf7e19f4e39a6da83100322a6b76,108785.0,8793615,1510261766.56,374,1510261604
c99ed401cbbbe68eeb6d68bedc725609fa134b67b4cdc2e2e746a255296872c3,72909.0,248945,1510265883.38,225,1510265586
daef7cb61549b62519f4d9dd9feb5a5f65c3c064a935eb1a44487a72ce91f1bb,111708.0,11175130,1510265586.75,521,1510261673
58ca256efba681845617bd41c14abc11d0074da8f824ad3cab81b5fd0ed0df22,72913.0,2936838,1510267249.64,226,1510266915
c3a2261c4cf686f9dc76556d5cafe8d088fe186fbd1818c05de27a83e6b3d12f,72914.0,1317086,1510266490.02,225,1510266413
4734b0676f1939664611166d75a5d52f77d318daae23cb90dc70baa056009ee9,71530.0,313600,1510265586.75,191,1510265429
0157d15edf0d182bbcebcca2cc40e98be09369cb782d0f9aa2acfdea38a067d2,48118.0,1125775,1510264653.31,166,1510263977
63d576ae7be14858e138b8090872176ba6e99e2df623d0e0c2b4f8af75f49469,83237.0,18506685,1510267249.64,257,1510266887
68ca0e922542d9cbf636f8cf2b9b12a7215a836f76b13408566f031407747df3,72909.0,9386993,1510265399.55,225,1510264761
a936bfe9aa86397a19984ac6b944d37ff47ce4d80efe7c7ebcd20e51f8ebc83b,72909.0,238282132,1510264642.6,225,1510263747
04b6f2ccfc89fa8f691c2620904f00d7998f99fc41d6771838d693fd6ba89927,148248.0,106898260,1510265399.55,521,1510265363
683739a3723b69b8319804ee4e1b69f2fb064307c44e684a06706e9339de00af,45447.0,2110000,1510265883.38,225,1510261476
5fab3783e231ca2425d3a3983761466f61e3fb875106bf88988e6c530d29ac99,150192.0,50643396,1510263058.57,666,1510261831
c45c04be9c152a99b341644a407b92c42e7085f2ae8a1232e9e97e273382ded0,72909.0,6795554,1510265883.38,224,1510265642
f2a6ab40ca6c8455b65161c536087661ed613525880fac377385420cd5f95612,67800.0,88127071,1510267249.64,226,1510267153
ba4eaf616f654bef15626f089c80e4a42062b50f9c25e277b8bd35a05a4ecedf,77080.0,96997,1510265586.75,373,1510261803
ba6d122ce6bba996d51c281374732e981bf8617f935b4d730721672f4b6adf2d,63506.0,20143974,1510264653.31,223,1510264106
c94f08b095bd443815838a190ded328961974e284f6077bef7a719ddd1039586,115414.0,2352230719,1510265586.75,386,1510265396
a7ac4020602cd12480a861c79ed355bd93ad0937ae373ace4039aa25cfc66790,108783.0,2377812,1510265399.55,374,1510264690
ed6a583d5db42a8253c327ff88146db82548c7b682ef471ec2083a267bb6f3d7,72909.0,456820817,1510264642.6,226,1510263903
b729a3570a4a18cc3529f2cd76be0f28a8af8e8f8d0e5f6a991840923f8d3a8a,58688.0,130829901,1510267249.64,224,1510266906
cecfd4ada128242b765fe2b0b2f8a009ac71ca1033d3edc979ebdad6bbae1191,195934.0,53876912,1510265399.55,634,1510264803
ee48ab39b72f1a22c7eda361428f92521ee4662b3695893b6d603ded2911b25c,67800.0,599932200,1510262776.97,226,1510262585
695c3f58ca3164aa49a49c928fbf2aa40b7b20bc0987db13f524759461747886,75000.0,40027796,1510264642.6,226,1510263114
f96b356737e824352c205277324cf90347c5747ac9bc6e57e90cbabd28a75e9b,72906.0,89368425,1510262776.97,225,1510262256
5c2ad6f8ae2a37720f2061e228cabe38a1bbfbc32b4b0438177a5667f3a86eee,102122.0,15592548,1510264653.31,372,1510263351
80e5dfd91cb6c225652dd9fc6ef67f32144d85a3455d603089dc914f376cc667,49089.0,2407263,1510267729.73,226,1510267265
6c6846eb71f15c6bc3e325a0ed6928b2e2b08abe1add91ddd405e1414bb4a713,102116.0,19737192,1510267249.64,370,1510267198
90330aa2620d4e4f9e059b215f60eac4ddf5ce8cf3ef7dd25951e85c13e19530,72909.0,156792775,1510265399.55,226,1510265074
